fort_id,name,alternate_names,district,taluka,latitude,longitude,base_village,type,elevation_m,current_condition,era,built_by,year_of_construction,key_events,trek_difficulty,trek_time_hours,best_season,water_availability,accommodation,asi_protected,notes
11,Akola Fort,Asadgad,Akola,Akola,20.7001,77.0175,Akola,Bhuikot (Land Fort),283,Partially Ruined,Mughal Empire,Asad Khan,c. 1697,Important stronghold in Berar region,Easy,0.5,Winter,None,None,FALSE,Located in the old city area of Akola; features multiple gates.
12,Alang Fort,,Nashik,Igatpuri,19.5855,73.6651,Kulangwadi,Giri Durg (Hill Fort),1479,In Ruins,Maratha Empire,Unknown,c. 17th-18th Century,Part of the intense Alang-Madan-Kulang trek,Hard,5,Winter,Seasonal in cisterns,Caves,FALSE,Part of the toughest trek in the Sahyadris; requires technical climbing gear.
13,Amalner,,Jalgaon,Amalner,21.0425,75.0664,Amalner,Bhuikot (Land Fort),183,In Ruins,Faruqi dynasty,Unknown,c. 15th Century,Local administrative fort (gadi),Easy,0.5,Winter,None,None,FALSE,A land fort in Amalner town  now heavily encroached.
14,Ambagad,,Bhandara,Tumsar,21.4395,79.6256,Ambagad,Giri Durg (Hill Fort),457,Partially Ruined,Gond Kingdom,Bakht Buland Shah,c. 18th Century,Controlled by Gonds; later by Bhonsles of Nagpur,Easy,1,Winter,None,None,FALSE,A small fort with scenic views of the surrounding region.
15,Ambolgad,,Ratnagiri,Rajapur,16.8042,73.3082,Ambolgad,Jal Durg (Sea Fort),15,In Ruins,Maratha Empire,Shivaji Maharaj,c. 1660,Coastal watch post,Easy,0.5,Winter,None,None,FALSE,A small coastal fort offering splendid views of the Arabian Sea.
16,Anghai,Ankai,Nashik,Yeola,20.1917,74.45,Ankai,Giri Durg (Hill Fort),961,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,c. 12th Century,Controlled trade routes; has Jain and Hindu caves,Medium,1.5,Winter,Seasonal,Caves,TRUE,Note: This is an alternate name for Ankai Fort (ID 014).
17,Anjaneri Fort,,Nashik,Trimbakeshwar,19.9234,73.5714,Anjaneri,Giri Durg (Hill Fort),1280,Partially Ruined,Yadava Dynasty,Unknown,c. 12th Century,Believed to be the birthplace of Lord Hanuman,Easy,2,Monsoon; Winter,Year-round,Anjaneri Mata Temple,FALSE,Features a temple for Anjani Mata; popular pilgrimage and trek spot.
18,Ankai Fort,,Nashik,Yeola,20.1917,74.45,Ankai,Giri Durg (Hill Fort),961,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,c. 12th Century,Controlled trade routes; has Jain and Hindu caves,Medium,1.5,Winter,Seasonal,Caves,TRUE,Twin fort to Tankai; known for its extensive cave complexes and fortifications.
19,Antur Fort,,Chhatrapati Sambhaji Nagar,Kannad,20.4489,75.253,Antur,Giri Durg (Hill Fort),899,Partially Ruined,Maratha Empire,A Maratha Sardar,c. 15th Century,Protected the Gautala Wildlife Sanctuary region,Easy,1,Winter,None,None,FALSE,Known for its scenic location and robust construction.
20,Arjungad,,Ratnagiri,Rajapur,16.6341,73.6812,Argaon,Giri Durg (Hill Fort),450,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the route to Rajapur port,Easy,1.5,Winter,None,None,FALSE,A small fort with minimal structures remaining.
21,Arnala Fort,,Palghar,Vasai,19.4623,72.7386,Arnala,Jal Durg (Sea Fort),5,Partially Ruined,Sultanate of Gujarat; Portuguese; Maratha Empire,Bajirao I (rebuilt),c. 1737,Captured from the Portuguese by Chimaji Appa,Easy,0.5,Winter,Seasonal,None,TRUE,Island fort accessible by ferry from Arnala village.
22,Asava,Asawagad,Palghar,Palghar,19.743,73.0019,Kardal,Giri Durg (Hill Fort),580,In Ruins,Shilahara Dynasty,Unknown,Unknown,Guarded the Palghar region,Medium,2.5,Winter,Seasonal,Caves,FALSE,A plateau fort with several water cisterns and remnants of fortifications.
23,Asheri Fort,Asherigad,Palghar,Palghar,19.8242,72.915,Khodkona,Giri Durg (Hill Fort),516,Partially Ruined,Shilahara Dynasty,Bhojraja,c. 13th Century,Captured from Portuguese by Marathas in 1737,Medium,2.5,Winter,Seasonal,Caves,FALSE,Offers panoramic views of the Palghar region; has a large plateau.
24,Avandha Fort,Avandha-Patta,Nashik,Sinnar,19.6644,73.8347,Nirgunpada,Giri Durg (Hill Fort),1323,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Important fort in the Kalsubai range; surrendered to the British,Medium,3,Winter,Seasonal,Caves,FALSE,A challenging trek with rewarding views of Patta and Kalsubai.
25,Avchitgad,,Raigad,Roha,18.435,73.1897,Medha,Giri Durg (Hill Fort),296,Partially Ruined,Shilahara Dynasty,Unknown,c. 12th Century,Strengthened during Nizamshahi period,Easy,1.5,Monsoon; Winter,Year-round in cisterns,None,FALSE,Known for its two main gates and bastions still in good condition.
26,Bahadurgad,,Ahilyanagar,Shrigonda,18.7831,74.6508,Pedgaon,Bhuikot (Land Fort),540,In Ruins,Mughal Empire,Aurangzeb,c. 1672,Aurangzeb's major Deccan campaign base; renamed Bahadurgad from Pedgaon,Easy,0.5,Winter,None,None,FALSE,Known for its Bhuleshwar temple and historical significance during Mughal-Maratha wars.
27,Bahadurpur,,Jalgaon,Parola,20.9833,75.1333,Bahadurpur,Bhuikot (Land Fort),260,In Ruins,Faruqi dynasty,Unknown,c. 15th Century,A land fort guarding the trade routes of Khandesh,Easy,0.5,Winter,None,None,FALSE,Located in Bahadurpur village most of the structure is now gone.
28,Bahadurwadi,,Kolhapur,Walva,16.9921,74.3414,Bahadurwadi,Bhuikot (Land Fort),570,In Ruins,Adil Shahi,Unknown,c. 16th Century,A small land fort or 'gadi',Easy,0.5,Winter,None,None,FALSE,Very little remains of the original structure.
29,Bahiravgad,Bhairavgad (Satara),Satara,Patan,17.2001,73.8155,Gudhe,Giri Durg (Hill Fort),1000,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Koyna valley; known for its deadly exposure,Hard,2,Winter,None,None,FALSE,Extremely difficult and dangerous trek; involves a vertical rock patch.
30,Bahula Fort,,Nashik,Nashik,19.8459,73.8741,Bahula,Giri Durg (Hill Fort),1073,In Ruins,Yadava Dynasty,Unknown,c. 12th Century,Watchtower fort in the Trimbak range,Easy,1.5,Winter,None,None,FALSE,A lesser-known fort offering solitude and views of Nashik city.
31,Balapur Fort,,Akola,Balapur,20.6723,76.7797,Balapur,Bhuikot (Land Fort),268,Partially Ruined,Mughal Empire,Mirza Azam Shah,c. 1721,Strategically located on the banks of Man river,Easy,0.5,Winter,None,None,TRUE,"Features high walls, bastions, and a beautiful chhatri of Mirza Raja Jai Singh."
32,Ballalgad,,Palghar,Dahanu,19.9547,72.8211,Dahanu,Giri Durg (Hill Fort),150,In Ruins,Maratha Empire,Unknown,c. 18th Century,Watchtower fort near the coast,Easy,1,Winter,None,None,FALSE,A small fort  largely in ruins.
33,Ballalpur Fort,Ballarshah Fort,Chandrapur,Ballarpur,19.851,79.3512,Ballarpur,Bhuikot (Land Fort),192,In Ruins,Gond Kingdom,Khandkya Ballal Shah,c. 13th Century,Capital of the Gond Kingdom before Chandrapur,Easy,0.5,Winter,None,None,TRUE,Located on the east bank of the Wardha River.
34,Balwantgad,,Ratnagiri,Khed,17.6538,73.4011,Asgani,Giri Durg (Hill Fort),300,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Khed,Easy,1,Winter,None,None,FALSE,A small fort with very little historical record.
35,Banda Fort,,Sindhudurg,Sawantwadi,15.8219,73.8347,Banda,Bhuikot (Land Fort),30,In Ruins,Adil Shahi,Adil Shah,c. 16th Century,Guarded the Terekhol creek crossing,Easy,0.5,Winter,None,None,FALSE,A land fort in the town of Banda  with only a few walls remaining.
36,Bandra Fort,Castella de Aguada,Mumbai Suburban,Bandra,19.0436,72.8198,Bandra,Jal Durg (Sea Fort),20,Partially Ruined,Portuguese,Portuguese,c. 1640,Watchtower at Mahim Bay; captured by Marathas in 1739,Easy,0.2,All Seasons,None,None,FALSE,Note: This is a duplicate entry for Castella de Aguada (ID 040).
37,Bankot Fort,Himmatgad; Fort Victoria,Ratnagiri,Mandangad,17.9868,73.0483,Bankot,Jal Durg (Sea Fort),60,Partially Ruined,Adil Shahi; Maratha Empire,Shivaji Maharaj,c. 16th Century; captured 1660,First fort captured by Shivaji on the Konkan coast,Easy,0.5,Winter,None,None,TRUE,Offers a panoramic view of the Savitri river meeting the Arabian sea.
38,Barvai,,Thane,Kalyan,19.2933,73.3444,Barvi,Giri Durg (Hill Fort),350,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort near Barvi Dam,Easy,1.5,Winter,None,None,FALSE,The fort overlooks the Barvi dam and is mostly in a state of ruin.
39,Basgad,Bhaskargad,Nashik,Trimbakeshwar,19.7891,73.5414,Baswantpur,Giri Durg (Hill Fort),1086,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort overlooking Harihar and Trimbak range,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its unique rock-cut steps and a small temple.
40,Belapur Fort,,Thane,Thane,19.0191,73.0369,Belapur,Bhuikot (Land Fort),10,Partially Ruined,Siddi Dynasty; Portuguese; Maratha Empire,Siddis of Janjira,c. 1560-1570,Captured by the Portuguese and later by the Marathas under Chimaji Appa,Easy,0.2,All Seasons,None,None,FALSE,Located near the Panvel creek; now houses government offices.
41,Bhadravati Fort,,Chandrapur,Bhadravati,20.1084,79.1171,Bhadravati,Bhuikot (Land Fort),211,In Ruins,Gond Kingdom,Yadav Rao,c. 13th Century,Ancient fort also known as Bhandak,Easy,0.5,Winter,None,None,FALSE,Notable for ancient temples and Buddhist caves in the vicinity.
42,Bhagwantgad,,Sindhudurg,Vengurla,15.9083,73.5242,Bhonus,Jal Durg (Sea Fort),20,In Ruins,Sawantwadi State,Khem Sawant III,c. 1701,Built to counter the Portuguese at Terekhol,Easy,0.5,Winter,None,None,FALSE,"A small coastal fort, mostly in ruins but offers great sea views."
43,Bhairavgad (Kothale),,Satara,Patan,17.2001,73.8155,Gudhe,Giri Durg (Hill Fort),1000,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Koyna valley; known for its deadly exposure,Hard,2,Winter,None,None,FALSE,"Note: This is the Bhairavgad in the Koyna region, famous for its dangerous climb."
44,Bhairavgad (Moroshi),,Thane,Murbad,19.3086,73.4358,Moroshi,Giri Durg (Hill Fort),1145,Partially Ruined,Maratha Empire,Unknown,c. 17th Century,Watchtower fort in Malshej Ghat region,Hard,3,Winter,Seasonal,Caves,FALSE,"Note: This is the Bhairavgad near Malshej Ghat, known for its unique rock architecture."
45,Bhandardurg,,Ahilyanagar,Akole,19.4975,73.6933,Ratanwadi,Giri Durg (Hill Fort),1297,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,The 'Jewel' fort; famous for its 'Nedhe' or Needle Hole,Medium,3,Winter,Year-round,Caves; Temple,FALSE,Note: This is an alternate name for Ratangad (ID 167).
46,Bhangsimatagad,,Nashik,Dindori,20.3712,73.7441,Bhangsi,Giri Durg (Hill Fort),1050,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort for watchtower purposes,Easy,1,Winter,None,None,FALSE,A very obscure fort with almost no remains.
47,Bharatgad,,Sindhudurg,Malvan,15.8958,73.6816,Masure,Giri Durg (Hill Fort),150,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 1680,Built to protect the southern borders of the Maratha kingdom,Easy,1,Winter,Year-round well,Temple,FALSE,Sister fort to Bhagwantgad.
48,Bhaskargad,Basgad,Nashik,Trimbakeshwar,19.7891,73.5414,Baswantpur,Giri Durg (Hill Fort),1086,In Ruins,Maratha Empire,Unknown,Unknown,Watchtower fort overlooking Harihar and Trimbak range,Medium,2,Winter,Seasonal,Caves,FALSE,Known for its unique rock-cut steps and a small temple.
49,Bhavangad,,Palghar,Dahanu,19.9511,73.0336,Waghadi,Giri Durg (Hill Fort),310,In Ruins,Maratha Empire,Unknown,c. 18th Century,Watchtower on the Dahanu-Nashik route,Easy,1,Winter,None,None,FALSE,A small and simple fort trek.
50,Bhilai Fort,,Chandrapur,Brahmapuri,20.6125,79.8512,Bhilai,Bhuikot (Land Fort),225,In Ruins,Gond Kingdom,Gond Kings,Unknown,Ancient Gond fort,Easy,0.5,Winter,None,None,FALSE,An obscure fort with mostly earthen ramparts remaining.
51,Bhivgad,,Raigad,Karjat,18.9015,73.2844,Gaurkamat,Giri Durg (Hill Fort),360,In Ruins,Maratha Empire,Unknown,Unknown,Small fort near Karjat,Easy,1,Monsoon; Winter,None,None,FALSE,A small and easy trek offering views of Dhak Bahiri and Peb forts.
52,Bhorgad,Dehergad,Nashik,Surguna,20.4815,73.7126,Hatrundi,Giri Durg (Hill Fort),1128,In Ruins,Maratha Empire,Unknown,c. 17th Century,Watchtower fort in the Selbari range,Medium,2,Winter,None,None,FALSE,A lesser-known fort with excellent views of the surrounding ranges.
53,Bhorgiri,,Pune,Khed,19.0622,73.7313,Bhorgiri,Giri Durg (Hill Fort),850,In Ruins,Unknown,Unknown,Ancient,Known for its caves and proximity to Bhimashankar,Easy,1.5,Monsoon; Winter,Seasonal,Caves; Temple,FALSE,More of a pilgrimage site with caves and minor fortifications.
54,Bhudargad,,Kolhapur,Bhudargad,16.1772,74.0935,Palej,Giri Durg (Hill Fort),978,Partially Ruined,Shilahara Dynasty,Raja Bhoj II,c. 12th Century,Important administrative center for the region,Easy,1,Post-Monsoon,Year-round,Temple,FALSE,A vast fort with several temples and administrative buildings.
55,Bhupalgad,,Sangli,Khanapur,17.4816,74.9086,Bhupalgad,Giri Durg (Hill Fort),910,In Ruins,Maratha Empire,Shivaji Maharaj,c. 1670s,Destroyed by Sambhaji Maharaj in a campaign against the Mughals,Easy,1,Winter,Seasonal,Temple,FALSE,Note: This is a different fort from Bhupatgad (Palghar).
56,Bhupatgad,,Palghar,Jawhar,19.988,73.1895,Chirwatpada,Giri Durg (Hill Fort),625,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Built to watch over the northern Konkan region,Medium,2,Winter,Seasonal,Caves,FALSE,Features several water cisterns and remnants of structures.
57,Bhushangad,,Satara,Khatav,17.7958,74.3855,Bhushangadwadi,Giri Durg (Hill Fort),927,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,A guardian fort for the eastern frontiers of Swarajya,Easy,0.5,Winter,Year-round,Maruti Temple,FALSE,Features a temple of Maruti and a large well.
58,Birwadi Fort,,Raigad,Mahad,18.2227,73.3985,Birwadi,Giri Durg (Hill Fort),160,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Watchtower fort near Raigad,Easy,1,Monsoon; Winter,Seasonal,None,FALSE,A small fort good for beginner trekkers.
59,Bishta,,Jalgaon,Chopda,21.3142,75.1811,Bishta,Bhuikot (Land Fort),200,In Ruins,Faruqi dynasty,Unknown,Unknown,A small fortified settlement or 'gadi',Easy,0.5,Winter,None,None,FALSE,Hardly any structure remains today.
60,Bitangad,,Nashik,Igatpuri,19.6644,73.8188,Bitangwadi,Giri Durg (Hill Fort),1067,In Ruins,Maratha Empire,Unknown,c. 17th Century,Small fort used as a watchtower,Easy,1.5,Winter,Seasonal,None,FALSE,"Trek is easy and offers views of Kalsubai, Alang, and Madan."
61,Bombay Castle,,Mumbai City,Fort,18.9327,72.8378,Mumbai,Bhuikot (Land Fort),11,Well-Preserved,Portuguese; British East India Company,Garcia de Orta (manor),c. 1554; fortified c. 1720,Headquarters of the British East India Company in Bombay,Easy,0.2,All Seasons,Not applicable,None,FALSE,"Located within the premises of INS Angre, the naval base of the Western Naval Command. Access is restricted."
62,Brahmagiri,Bhandardurg,Nashik,Trimbakeshwar,19.937,73.5359,Trimbak,Giri Durg (Hill Fort),1298,Partially Ruined,Yadava Dynasty,Unknown,c. 12th Century,Source of the Godavari River; a major pilgrimage site,Easy,2,Monsoon; Winter,Available,None,FALSE,More of a pilgrimage site with fortifications; features Ganga-Godavari temple.
63,Castella de Aguada,Bandra Fort,Mumbai Suburban,Bandra,19.0436,72.8198,Bandra,Jal Durg (Sea Fort),20,Partially Ruined,Portuguese,Portuguese,c. 1640,Watchtower at Mahim Bay; captured by Marathas in 1739,Easy,0.2,All Seasons,None,None,FALSE,Popular landmark in Bandra; offers views of the Bandra-Worli Sea Link.
64,Chambhargad,,Satara,Patan,17.2514,73.9125,Chambharwadi,Giri Durg (Hill Fort),950,In Ruins,Maratha Empire,Unknown,Unknown,A small fort known for its rock-cut cave,Easy,1,Winter,None,Cave,FALSE,A lesser-known fort offering views of the Koyna backwaters.
65,Chandan Fort,,Satara,Satara,17.8447,73.9669,Kikali,Giri Durg (Hill Fort),1082,In Ruins,Shilahara Dynasty,Bhoj II,c. 12th Century,Twin fort to Vandan; captured by Shivaji Maharaj,Easy,1.5,Winter,Seasonal,Mosque; Temple,FALSE,The trek usually covers both Chandan and Vandan forts together.
66,Chanderi,,Raigad,Karjat,19.0558,73.2208,Vangani,Giri Durg (Hill Fort),800,Pinnacle,Maratha Empire,Shivaji Maharaj,Unknown,A watchtower fort between Badlapur and Vangani,Medium,3,Winter,Seasonal,Caves,FALSE,A popular trek known for its huge pinnacle and caves.
67,Chandragad,Dhavalgad,Pune,Mulshi,18.3583,73.5186,Dhawale,Giri Durg (Hill Fort),1189,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Overlooks the backwaters of Varasgaon dam,Medium,3,Winter,Seasonal,Caves; Temple,FALSE,A remote fort with a hidden escape route (chor darwaja).
68,Chandwad Fort,,Nashik,Chandwad,20.3308,74.2255,Chandwad,Giri Durg (Hill Fort),1020,In Ruins,Yadava Dynasty,Dridhaprahara,c. 9th Century,Known for Rangmahal palace and ancient temples,Easy,1,Winter,None,None,FALSE,Fort is located above the town of Chandwad.
69,Chaughan Fort,,Nashik,Satana,20.6553,74.0761,Chaughan,Giri Durg (Hill Fort),1230,In Ruins,Maratha Empire,Unknown,Unknown,Part of the Satmala hill range,Medium,2,Winter,None,None,FALSE,A less-frequented fort with remnants of fortifications.
70,Chaulher Fort,Chauragad,Nashik,Satana,20.735,74.0989,Chaulher,Giri Durg (Hill Fort),1123,Partially Ruined,Maratha Empire,Shivaji Maharaj,c. 17th Century,Known for its difficult access and strong fortifications,Medium,2.5,Winter,Seasonal,Caves,FALSE,"Features a large plateau and a narrow, rock-cut approach."
71,Chavand Fort,Prasannagad,Pune,Junnar,19.2311,73.7439,Chavandwadi,Giri Durg (Hill Fort),1036,Partially Ruined,Satavahana Dynasty,Satavahanas,c. 2nd Century,One of the five forts of Junnar region; has a Saptamatrika plaque,Easy,1.5,Winter,Year-round,Temple; Caves,FALSE,The fort was renamed Prasannagad by Shivaji Maharaj.
72,Danda Fort,Korlai Fort,Raigad,Murud,18.5333,72.9,Korlai,Jal Durg (Sea Fort),90,Partially Ruined,Portuguese,Portuguese,c. 1521,Guarded the Revdanda creek,Easy,1,Winter,None,Lighthouse,TRUE,"Note: This likely refers to Korlai Fort (ID 099), located near Danda-Rajpuri creek."
73,Dasgaon Fort,,Raigad,Mahad,18.0917,73.3833,Dasgaon,Giri Durg (Hill Fort),150,In Ruins,Maratha Empire,Unknown,Unknown,Guarded the Savitri River creek,Easy,0.5,Winter,None,None,FALSE,Located on a small hillock near the village of Dasgaon.
74,Dategad,Sundargad,Satara,Patan,17.4475,73.8436,Tolewadi,Giri Durg (Hill Fort),1067,In Ruins,Maratha Empire,Shivaji Maharaj,c. 17th Century,Watchtower fort guarding the Patan-Karad region,Easy,1,Winter,Seasonal,Temple,FALSE,A small fort with a temple and a few water cisterns.
75,Dativre Fort,,Palghar,Palghar,19.6105,72.7844,Dativre,Jal Durg (Sea Fort),5,In Ruins,Portuguese,Portuguese,c. 16th Century,Guarded the mouth of Dativre creek,Easy,0.2,Winter,None,None,FALSE,Almost completely ruined; located amidst a fishing village.
76,Daulatabad Fort,Devgiri,Chhatrapati Sambhaji Nagar,Aurangabad,19.9431,75.214,Daulatabad,Giri Durg (Hill Fort),800,Partially Ruined,Yadava Dynasty,Bhillama V,c. 1187,Capital shifted from Delhi by Muhammad bin Tughlaq in 1327,Medium,2.5,Winter,Bottled water sold,Hotels in Aurangabad,TRUE,"Features Chand Minar, intricate defenses, and the Andheri (dark passage)."
77,Daulatmangal,Bhuleshwar Fort,Pune,Daund,18.4231,74.3417,Malthan,Giri Durg (Hill Fort),700,In Ruins,Mughal Empire,Aurangzeb,c. 1660s,Built to keep a watch on the movement of Marathas,Easy,1,Winter,Seasonal,Temple nearby,FALSE,Built on a hill that also hosts the famous Bhuleshwar Temple.
78,Dermal Fort,,Kolhapur,Ajra,16.035,74.155,Dhamane,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,c. 17th Century,Small watchtower fort,Easy,1,Post-Monsoon,None,None,FALSE,Note: This is a duplicate entry for Dermal Fort (ID 050).
79,Devgad Fort,,Sindhudurg,Devgad,16.3797,73.3644,Devgad,Jal Durg (Sea Fort),30,Partially Ruined,Adil Shahi; Angre Clan,Kanhoji Angre,c. 1705,Protected the Devgad harbour; has a lighthouse,Easy,0.5,Winter,None,None,FALSE,The fort walls enclose the Devgad town and harbour.
80,Dhak Bahiri,,Raigad,Karjat,18.8286,73.43,Sandshi,Giri Durg (Hill Fort),700,Caves,Unknown,Unknown,Ancient cave pilgrimage site,"A cave shrine of Lord Bhairavnath, known for extreme trek",Hard,3.5,Winter,None,Caves,FALSE,Note: This is a duplicate entry for Dhak Bahiri (ID 052).
81,Dharavi Fort,Riwa Fort,Mumbai City,Sion,19.0436,72.8683,Dharavi,Bhuikot (Land Fort),15,Partially Ruined,British,British East India Company,c. 1737,Built to mark the northern boundary of British-held Bombay,Easy,0.1,All Seasons,None,None,FALSE,Note: This is a duplicate entry for Riwa Fort (ID 170).
82,Dharmapuri Fort,,Beed,Ambejogai,18.73,76.3762,Dharmapuri,Bhuikot (Land Fort),700,In Ruins,Unknown,Unknown,Unknown,Ancient land fort with a temple,Easy,0.5,Winter,None,None,FALSE,The fort is mostly in ruins but the Kedareshwar temple is intact.
83,Dhodap Fort,,Nashik,Chandwad,20.3958,74.0483,Hatti,Giri Durg (Hill Fort),1472,Partially Ruined,Yadava Dynasty,Yadavas of Devgiri,c. 13th Century,Second highest fort in Maharashtra; Treaty of Purandar,Medium,2.5,Winter,Seasonal,Caves,FALSE,"Famous for its unique shape, Ikhara cliff, and rock-cut architecture."
84,Dhotri Fort,,Ahilyanagar,Parner,19.0132,74.4511,Dhotre,Giri Durg (Hill Fort),850,In Ruins,Maratha Empire,Unknown,Unknown,A small watchtower fort,Easy,1,Winter,None,None,FALSE,Minimal ruins remain.
85,Dronagiri Fort,,Raigad,Uran,18.8419,72.9378,Karanja,Jal Durg (Sea Fort),200,In Ruins,Yadava Dynasty; Maratha Empire,Yadavas,c. 13th Century,Overlooks Karanja and Mumbai harbours,Easy,1,Winter,None,None,FALSE,Much of the fort area is now part of a naval base and ONGC plant.
86,Dubergad,,Nashik,Dindori,20.3215,73.8543,Duber,Giri Durg (Hill Fort),950,In Ruins,Maratha Empire,Unknown,Unknown,A small hill fort with minimal remains,Easy,1,Winter,None,None,FALSE,A lesser-known trek in the Dindori region.
87,Dundha Fort,Dunda,Nashik,Dindori,20.2811,73.8015,Dundha,Giri Durg (Hill Fort),900,In Ruins,Maratha Empire,Unknown,Unknown,Small fort with a few cisterns and minimal fortifications,Easy,1.5,Winter,None,None,FALSE,A simple trek near Nashik.
88,Durg Dhakoba,,Pune,Khed,19.1667,73.6833,Ambavali,Giri Durg (Hill Fort),1175,Pinnacle,Maratha Empire,Unknown,Unknown,"Twin peak to Dhakoba, guarded the ancient trade routes",Hard,4,Winter,Seasonal,Caves,FALSE,A challenging trek often combined with Dhakoba.
89,Durgadi Fort,,Thane,Kalyan,19.2435,73.1256,Kalyan,Bhuikot (Land Fort),12,Well-Preserved,Maratha Empire,Shivaji Maharaj,c. 1657,Site of the first Maratha navy dockyard,Easy,0.2,All Seasons,Not applicable,None,FALSE,A small fort on the banks of Ulhas river; has a popular Durga temple.
90,Fattegad,,Ahilyanagar,Shrigonda,18.675,74.75,Fattegadwadi,Giri Durg (Hill Fort),650,In Ruins,Mughal Empire,Aurangzeb,c. 17th Century,Small watchtower fort,Easy,1,Winter,None,None,FALSE,Lesser known fort  mostly ruins remain.
